status,message,whaleName,depID,tagOnHours,pct_resting,pct_traveling,pct_foraging,pct_exploring,prhPath,folder,file,nSamples,nDives,nValidLunges
OK,,mn200315-54,mn200315-54,18.29888889,4.677879653,25.12660149,35.88666586,34.308853,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-54 (Antarctic)/mn200315-54 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-54 (Antarctic),mn200315-54 10Hzprh,781796,158,356
OK,,mn200315-58,mn200315-58,5.1875,8.575100402,28.68647925,0,62.73842035,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-58 (Antarctic)/mn200315-58 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-58 (Antarctic),mn200315-58 10Hzprh,195385,55,0
OK,,mn200315-70,mn200315-70,12.907,11.00866885,5.485180307,49.33240361,34.17374723,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-70 (Antarctic)/mn200315-70 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-70 (Antarctic),mn200315-70 10Hzprh,1085154,148,563
OK,,mn200315-71,mn200315-71,0.2715,14.76365869,17.34192756,0,67.89441375,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-71 (Antarctic)/mn200315-71 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn200315-71 (Antarctic),mn200315-71 10Hzprh,18639,4,0
OK,,mn220221-65,mn220221-65,8.169916667,10.24048253,13.0903688,0,76.66914867,/Volumes/CATS/CATS/tag_analysis/data_processed/mn220221-65 (Antarctic)/mn220221-65 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn220221-65 (Antarctic),mn220221-65 10Hzprh,305868,52,0
OK,,mn220226-P4,mn220226-P4,2.479472222,5.740468962,36.0213307,0,58.23820033,/Volumes/CATS/CATS/tag_analysis/data_processed/mn220226-P4 (Antarctic)/mn220226-P4 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn220226-P4 (Antarctic),mn220226-P4 10Hzprh,101331,30,0
OK,,mn250131-66,mn250131-66,28.16275,16.09839238,12.09763882,6.535031005,65.26893779,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250131-66 (Antarctic)/mn250131-66 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250131-66 (Antarctic),mn250131-66 10Hzprh,1026254,235,161
OK,,Mn250131-67,Mn250131-67,5.981166667,3.676354483,42.94126935,0,53.38237616,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250131-67 (Antarctic)/Mn250131-67 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250131-67 (Antarctic),Mn250131-67 10Hzprh,226268,87,0
OK,,Mn250131-68,Mn250131-68,22.32844444,7.481986106,35.05157845,0,57.46643544,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250131-68 (Antarctic)/Mn250131-68 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250131-68 (Antarctic),Mn250131-68 10Hzprh,820846,391,0
OK,,mn250201-T60,mn250201-T60,11.94041667,9.468309081,18.35176978,0,72.17992114,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250201-T60 (Antarctic)/mn250201-T60 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250201-T60 (Antarctic),mn250201-T60 10Hzprh,441706,87,0
OK,,mn250203-49,mn250203-49,9.424138889,13.98123613,32.52316009,0,53.49560378,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250203-49 (Antarctic)/mn250203-49 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250203-49 (Antarctic),mn250203-49 10Hzprh,357351,181,0
OK,,mn250203-66,mn250203-66,57.78433333,7.096598655,14.43792916,9.543965204,68.92150698,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250203-66 (Antarctic)/mn250203-66 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250203-66 (Antarctic),mn250203-66 10Hzprh,2091815,594,1457
OK,,Mn250203-67,Mn250203-67,18.09213889,6.428820375,8.595046652,34.13867594,50.83745703,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250203-67 (Antarctic)/Mn250203-67 10Hzprh.mat,/Volumes/CATS/CATS/tag_analysis/data_processed/mn250203-67 (Antarctic),Mn250203-67 10Hzprh,663925,317,562
